codigo,precio,administracion,latitud,longitud,area,banos,habitaciones,porteria,antiguedad,estado,piso,parqueaderos,estrato,descripcion,pagina,fecha
10718622,375000000,222000,4.7527349,-74.0644343,81.0,2,4,1,23.0,,0,1.0,3.0,"Casa totalmente remodelada hace varios años, cambiando baños. cocina, patio y closets, cuenta en primer piso con salón-comedor, cocina integral abierta, patio enchapado y cubierto en marquesina corrediza, deposito; segundo piso 2 alcobas con closet y baño completo, hall; tercer piso 2 alcobas con closet, baño completo, hall y sarso con deposito y tanque de aprovisionamiento de agua propio, parqueadero propio y parqueadero para visitantes.
Conjunto con portería 24 horas, parqueadero para visitantes, acceso a parque o zona verde amplia y cerrada con acceso exclusivo al conjunto.",finca_raiz,2024-06-14 19:07:52.521
10975684,199000000,98000,4.532171077442175,-74.11730701163941,52.0,2,3,1,12.0,,1,0.0,2.0,"Casa absolutamente remodelada hace menos de dos años, con acabados de lujo, cocina integral preciosa, patio interior, sala comedor, tres habitaciones, dos baños, altillo, closet en dos de las habitaciones. Esta casa está ubicada en el Conjunto Quintas del Portal 1, a pocas cuadras del Portal de Usme, del Centro Comercial Altavista y del CAI Santa Marta. El conjunto cuenta parqueaderos comunales, salón comunal, parque infantil.",finca_raiz,2024-06-14 19:07:52.877
10310081,1200000000,1031700,4.742791,-74.075896,167.0,4,3,1,4.5,,2,3.0,6.0,"Te presentamos un hermoso apartamento con un excelente diseño y distribución, ubicado cerca al centro comercial Parque La Colina, con gran comercio y supermercados. 

Al ingresar al apartamento encontramos la zona social con techos en gran altura  y grandes ventanales que permiten una gran iluminación , con acceso al balcón donde puedes realizar reuniones familiares y con amigos .

El apartamento posee una moderna cocina de estilo americano con una espectacular barra sobre el área social.
Cuenta con tres amplias habitaciones, cada una de ellas con baño privado y un cómodo family room.

Que esperas para comunicarte con nosotros y agendar tu visita",finca_raiz,2024-06-14 19:07:53.075
10974632,2300000000,1000000,4.765416999999999,-74.0597858,450.0,4,3,1,23.0,,2,3.0,5.0,"VENDO MAGNIFICA CASA ,  CAMPESTRE  REMODELADA, YA LE REALIZARON EL CAMBIO DE TUBERIA, CUENTA CON SALA DOBLE ALTURA, COMEDOR INDEPENDIENTE, TERRAZA CUBIERTA, JARDIN CON ZONA DE BBQ, ESTUDIO, TRES HABITACIONES CADA UNA CON BAÑO, ESTUDIO PUEDE SER HABITACION, CUARTO Y BAÑO DE SERVICIO,  PARQUEADEROS CUBIERTOS, EXCELENTE ESTADO Y UBICACION.
LLAMENOS PARA TENER EL GUSTO DE ATENDERLO!!",finca_raiz,2024-06-14 19:07:53.392
7709859,460000000,472500,4.723440170288086,-74.03873443603516,69.0,2,2,1,4.5,Excelente,4,1.0,4.0,"GRAN OPORTUNIDAD  EN VENTA  APTO EN CEDRITOS
UBICADO  EN 4 PISO EXTERIOR FRENTE A CRA 
AREA: 69 MTS CON BALCON 
SALA COMEDOR EN UN SOLO AMBIENTE CON VENTANAL PISO A TECHO - INTEGRADA A LA COCINA ABIERTA CON COMEDOR AUXILIAR
ZONA DE LAVANDERIA INDEPENDIENTE- LAVADERO 
HALL DE ALCOBAS
DOS ALCOBAS , DOS BAÑOS, (ALCOBA PRINCIPAL CON BAÑO PRIVADO Y BALCON)
PISOS EN MADERA LAMINADA EN ZONA SOCIAL Y ALCOBAS.
DEPOSITO Y GARAJE INDEPENDIENTE
EL EDIFICIO CUENTA CON SALA DE ESPERA,LOBBY,  SALON SOCIAL,  GYM,  TERRAZA ULTIMO NIVEL. EN SUS ALREDEDORES ENCONTRAMOS ZONA BANCARIA, ZONA COMERCIAL,  UNIVERSIDADES, COLEGIOS,  CLINICAS.",finca_raiz,2024-06-14 19:07:53.592
10568124,350000000,230000,4.6491978,-74.143588,70.0,2,3,1,4.5,,0,1.0,3.0,"¡¡OPORTUNIDAD, APARTAMENTO Sector castilla la Nueva,  Conjunto residencial Castelo ( carrera 81f- con calle 10 b) cerca a la avenida Cali, Sector en desarrollo, piso 19 (ultimo) con vista exterior-sur occidental, sol de tarde, cuenta con sala comedor con balcón, cocina integral semi-abierta, zona de lavado con ventilación, 3 habitaciones, 2 baños , espacio de estudio, parqueadero para vehículo, parqueadero para moto y deposito. el conjunto cuenta con salón social, salón de juegos, gimnasio, zona BBQ, zona infantil, parqueadero de visitantes. contacto Andres Artunduaga,",finca_raiz,2024-06-14 19:07:53.887
10617369,190000000,130000,4.5671459,-74.12500519999999,47.0,1,3,1,4.5,,12,1.0,3.0,"Sobre la Avenida Caracas, cerca a Santa Lucia. Apartamento en venta de 47m2, con vista exterior, ubicado en un 12vo piso, acceso por ascensor, parqueadero propio cubierto (189). Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con terraza, cancha sintética, gimnasio, salón comunal y vigilancia privada las 24 horas. Cerca a Centro Comercial Ciudad Tunal; cerca a almacenes de cadena Tiendas D1 y Ara; cerca de Colegio Distrital San Carlos Sede B; cerca a estación de Transmilenio Socorro; Vías de acceso por la Av. Caracas y la Diagonal 49A Bis B Sur.",finca_raiz,2024-06-14 19:07:54.095
10142242,980000000,0,4.6796982,-74.0905307,456.0,5,9,0,4.5,,3,1.0,3.0,"VENDO CASA DE 3 NIVELES. 456 MTS CONSTRUIDOS, 8 MTS DE FRENTE  X  19 DE FONDO. REMODELADA AÑO 2020. 

3 APARTAMENTOS INDEPENDIENTES, LOS CLOSET EN MADERA DEKO, PUERTAS, PISOS Y COCINA  EN MADERA ACACIA MANGIUM IMPORTADA.

LAS 9 HABITACIONES TIENE SUS CLOSET.

1 PISO INDEPENDIENTE: 3 HABITACIONES,1 BAÑO, COCINA INTEGRAL, ZONA DE LAVANDERÍA, PATIO, PARQUEADERO O ESPACIO PARA NEGOCIO.

2 PISO, 4 HABITACIONES, HABITACIÓN PRINCIPAL MUY AMPLIA, 2 BAÑOS, COCINA ABIERTA TIPO AMERICANO, SALA COMEDOR CON CHIMENEA, LUCES INDIRECTAS.

3 PISO APARTAMENTO INDEPENDIENTE: 2 HABITACIONES, 1 BAÑO, 1 ESTUDIO, ZONA DE LAVANDERÍA, COCINA INTEGRAL, CON POSIBILIDAD DE AMPLIACIÓN.
TERRAZA CON DOMO CORREDIZO, BBQ, ZONA DE LAVANDERÍA, BAÑO CON JACUZZI.

EXCELENTE UBICACIÓN AV 68, AV 72, AV 30, CENTROS COMERCIALES METRÓPOLIS CENTRO COMERCIAL FLORESTA, CENTRO COMERCIAL TITAN PLAZA, CERCA AEROPUERTO.

ACTUALMENTE RENTA $5 MILLONES.",finca_raiz,2024-06-14 19:07:54.328
10554436,510000000,380000,4.752686961314454,-74.02760480488281,170.0,3,4,1,23.0,,3,1.0,4.0,"Hermosa casa e iluminada de 170 mts de 3 niveles. Nivel uno: consta de sala, comedor independientes, chimenea, sala de estar, baño social, cocina integral, zona de ropas independiente. Nivel dos: consta de 3 alcobas, la principal con baño privado y  baño de alcobas, una de las alcobas con una terraza. Nivel tres: Altillo con estudio, una alcoba y una terraza. Tiene un parqueadero,  el conjunto cuenta con parque para niños, zonas verdes, salones sociales. Cerca  a parques, colegios, universidades, centros comerciales, buen transporte público.",finca_raiz,2024-06-14 19:07:55.004
10801267,1500000000,1500000,4.6535932049088125,-74.0511989593506,155.0,3,3,1,12.0,,5,2.0,6.0,"Apartamento en Rosales con con Balcón, Cll 74 con Cra 1 Este


 Área total 150m2 + 5m2 de área Balcón
 Precio de Venta: $1.500.000.000
 Año de Construido: 2.013
 Valor de la administración: $1.500.000
 Número de Habitaciones: 3
 Número de Baños: 3
 Número de Parqueaderos: 2
 CBS
 Deposito


Te presentamos este moderno apartamento ubicado en el exclusivo sector de Rosales, cuenta con un total de 155 mts2 incluyendo un balcón de 5 mts2 de  dos parqueaderos privados independientes. Se accede al apartamento por un ascensor privado a la zona social donde se encuentra el espacio de la sala que cuenta con chimenea y un balcón que se comunica con la habitación principal, y con una impresionante vista hacia el occidente de la ciudad. En esta zona también se encuentra el area independiente del comedor que se comunica con una cocina cerrada completamente equipada con aparatos de lujo, el cuarto y baño de servicio, al igual que zona de lavanderia, y  cuenta con entrada de servicio independiente. En la zona privada encontramos tres amplias habitaciones, la principal con walk in closet, baño privado, y balcón, las dos habitaciones secundarias comparten un baño  El edificio cuenta gimnasio, sauna, y un salón múltiple con salida a una terraza interior, y cuenta con otra terraza en el ultimo piso completamente amoblada con muebles de exterior y BBQ. Conoce esta magnífica propiedad, agenda tu cita!",finca_raiz,2024-06-14 19:07:55.207
