codigo,precio,administracion,latitud,longitud,area,banos,habitaciones,porteria,antiguedad,estado,piso,parqueaderos,estrato,descripcion,pagina,fecha,codigo_busqueda,coords_modified,geometry,barrio,localidad,sitp_distancias_menores,sitp_nombres_menores,trasmi_distancias_menores,trasmi_nombres_menores,troncales_trasmi_menores,troncales_sitp_menores,parque_cercano,distancia_parque_m,is_cerca_parque,Componente1,price_score_base_ratio,score_base
10718622,375000000.0,222000,4.7527349,-74.0644343,38.170221843750866,0.9705196496803477,1.434909505766386,-0.22917471770414288,5.479997309016594,,0,0.4252831508226308,1.0547804466089938,"Casa totalmente remodelada hace varios años, cambiando baños. cocina, patio y closets, cuenta en primer piso con salón-comedor, cocina integral abierta, patio enchapado y cubierto en marquesina corrediza, deposito; segundo piso 2 alcobas con closet y baño completo, hall; tercer piso 2 alcobas con closet, baño completo, hall y sarso con deposito y tanque de aprovisionamiento de agua propio, parqueadero propio y parqueadero para visitantes.
Conjunto con portería 24 horas, parqueadero para visitantes, acceso a parque o zona verde amplia y cerrada con acceso exclusivo al conjunto.",finca_raiz,2024-06-14 19:07:52.521,10718622_finca_raiz,False,POINT (-74.0644343 4.7527349),PORTALES DEL NORTE,SUBA,"[0.09328912312448033, 0.09818623206268261, 0.13467940999638897, 0.25355836887669275, 0.2887169739703797]","['KR 67 - CL 169 (283A02)', 'AV. Boyacá - CL 167 (159A02)', 'AV. Boyacá - CL 167 (160A02)', 'CL 167 - KR 73 (241A02)', 'CL 167 - KR 73 (240A02)']","[2.0366496280389783, 2.049636887016034, 2.1840955103239796, 2.5129004400213226, 2.62989258282277]","['Toberin - Foundever', 'Portal Norte', 'Calle 161', 'Calle 187', 'Mazurén']","['Autonorte', 'Autonorte', 'Autonorte', 'Autonorte', 'Autonorte']","['KR 67', 'AV. Boyacá', 'AV. Boyacá', 'CL 167', 'CL 167']",PARQUE ZONAL SAN JOSÉ DE BAVARIA,0.28,1,-0.6233562274056175,5508982.035928144,83.5
10975684,199000000.0,98000,4.532171077442175,-74.11730701163941,24.50433994907463,0.9705196496803477,1.0761821293247895,-0.22917471770414288,2.8591290307912667,,1,0.0,0.7031869644059958,"Casa absolutamente remodelada hace menos de dos años, con acabados de lujo, cocina integral preciosa, patio interior, sala comedor, tres habitaciones, dos baños, altillo, closet en dos de las habitaciones. Esta casa está ubicada en el Conjunto Quintas del Portal 1, a pocas cuadras del Portal de Usme, del Centro Comercial Altavista y del CAI Santa Marta. El conjunto cuenta parqueaderos comunales, salón comunal, parque infantil.",finca_raiz,2024-06-14 19:07:52.877,10975684_finca_raiz,False,POINT (-74.11730701163941 4.532171077442175),PORVENIR,USME,"[0.19144945212563438, 0.19917826957511378, 0.20846820852566528, 0.20997836241121748, 0.2678652988319784]","['CL 67A Sur - KR 11 (576A12)', 'CL 67A Sur - KR 11 (528A12)', 'AV. Caracas - CL 65 Sur (010A12)', 'KR 7H - CL 65GBis Sur (012A12)', 'AV. Caracas - CL 67A Sur (010B12)']","[0.23651338778371567, 2.812583104069778, 3.203122781582478, 3.7267799827902173, 4.356295227699283]","['Portal Usme', 'Molinos', 'Consuelo', 'Socorro', 'Portal 20 de Julio']","['Caracas', 'Caracas', 'Caracas', 'Caracas', 'Cr 7-10']","['CL 67A Sur', 'CL 67A Sur', 'AV. Caracas', 'KR 7H', 'AV. Caracas']",PARQUE VECINAL CIUDAD NUEVO MILENIO I,0.37,1,6.585140389930313,1162790.6976744186,645.0
10310081,1200000000.0,1031700,4.742791,-74.075896,78.6966302210666,1.9410392993606953,1.0761821293247895,-0.22917471770414288,1.072173386546725,,2,1.2758494524678925,2.1095608932179877,"Te presentamos un hermoso apartamento con un excelente diseño y distribución, ubicado cerca al centro comercial Parque La Colina, con gran comercio y supermercados. 

Al ingresar al apartamento encontramos la zona social con techos en gran altura  y grandes ventanales que permiten una gran iluminación , con acceso al balcón donde puedes realizar reuniones familiares y con amigos .

El apartamento posee una moderna cocina de estilo americano con una espectacular barra sobre el área social.
Cuenta con tres amplias habitaciones, cada una de ellas con baño privado y un cómodo family room.

Que esperas para comunicarte con nosotros y agendar tu visita",finca_raiz,2024-06-14 19:07:53.075,10310081_finca_raiz,False,POINT (-74.075896 4.742791),SUBA CERROS,SUBA,"[0.3246187462485789, 0.41822431043300096, 0.48657606453085245, 0.5056545586728064, 0.553836101322065]","['KR 80 - CL 146F (472A03)', 'KR 80 - CL 146D (470A03)', 'KR 76 - CL 146F (474A03)', 'KR 80 - CL 146B (471A03)', 'KR 76 - CL 146C (476A03)']","[0.9854101977159571, 1.2936512444650872, 1.680199532741965, 1.7232816039529826, 2.085643479935823]","['21 Ángeles', 'Suba - TV. 91', 'La Campiña', 'Gratamira', 'Portal Suba']","['Suba', 'Suba', 'Suba', 'Suba', 'Suba']","['KR 80', 'KR 80', 'KR  76', 'KR 80', 'KR  76']",PARQUE ZONAL EL TOMILLAR,0.42,1,-1.9679151756872841,8205128.205128205,39.0
10974632,2300000000.0,1000000,4.765416999999999,-74.0597858,212.05678802083816,1.9410392993606953,1.0761821293247895,-0.22917471770414288,5.479997309016594,,2,1.2758494524678925,1.7579674110149894,"VENDO MAGNIFICA CASA ,  CAMPESTRE  REMODELADA, YA LE REALIZARON EL CAMBIO DE TUBERIA, CUENTA CON SALA DOBLE ALTURA, COMEDOR INDEPENDIENTE, TERRAZA CUBIERTA, JARDIN CON ZONA DE BBQ, ESTUDIO, TRES HABITACIONES CADA UNA CON BAÑO, ESTUDIO PUEDE SER HABITACION, CUARTO Y BAÑO DE SERVICIO,  PARQUEADEROS CUBIERTOS, EXCELENTE ESTADO Y UBICACION.
LLAMENOS PARA TENER EL GUSTO DE ATENDERLO!!",finca_raiz,2024-06-14 19:07:53.392,10974632_finca_raiz,False,POINT (-74.0597858 4.765416999999999),SAN JOSE DE BAVARIA,SUBA,"[0.8207243452910974, 0.8860491565122697, 0.9073926533293163, 0.9149097077211323, 0.9448385778447723]","['AC 170 - AV. Boyacá (165A02)', 'AC 170 - Av. Boyacá (366A02)', 'AC 170 - AV. Boyacá (015A02)', 'AC 170 - KR 65 (013A02)', 'AC 170 - KR 65 (014A02)']","[1.7202050305644425, 1.8363063239764685, 1.9398137203283492, 2.5486091127952397, 2.92238409101053]","['Calle 187', 'Terminal', 'Portal Norte', 'Toberin - Foundever', 'Calle 161']","['Autonorte', 'Autonorte', 'Autonorte', 'Autonorte', 'Autonorte']","['AC  170', 'AC 170', 'AC 170', 'AC 170', 'AC 170']",PARQUE VECINAL URBANIZACIÓN VILANOVA,1.2,1,-1.951599594772476,2459016.393442623,61.0
7709859,460000000.0,472500,4.723440170288086,-74.03873443603516,32.51537416319518,0.9705196496803477,0.717454752883193,-0.22917471770414288,1.072173386546725,Excelente,4,0.4252831508226308,1.4063739288119916,"GRAN OPORTUNIDAD  EN VENTA  APTO EN CEDRITOS
UBICADO  EN 4 PISO EXTERIOR FRENTE A CRA 
AREA: 69 MTS CON BALCON 
SALA COMEDOR EN UN SOLO AMBIENTE CON VENTANAL PISO A TECHO - INTEGRADA A LA COCINA ABIERTA CON COMEDOR AUXILIAR
ZONA DE LAVANDERIA INDEPENDIENTE- LAVADERO 
HALL DE ALCOBAS
DOS ALCOBAS , DOS BAÑOS, (ALCOBA PRINCIPAL CON BAÑO PRIVADO Y BALCON)
PISOS EN MADERA LAMINADA EN ZONA SOCIAL Y ALCOBAS.
DEPOSITO Y GARAJE INDEPENDIENTE
EL EDIFICIO CUENTA CON SALA DE ESPERA,LOBBY,  SALON SOCIAL,  GYM,  TERRAZA ULTIMO NIVEL. EN SUS ALREDEDORES ENCONTRAMOS ZONA BANCARIA, ZONA COMERCIAL,  UNIVERSIDADES, COLEGIOS,  CLINICAS.",finca_raiz,2024-06-14 19:07:53.592,7709859_finca_raiz,False,POINT (-74.03873443603516 4.723440170288086),CEDRO NARVAEZ,USAQUEN,"[0.15581362003693508, 0.2697619803460575, 0.3234881260633601, 0.32602747601861504, 0.35410542182166727]","['CL 142 - KR 13 (554A01)', 'AK 15 - CL 141 (110A01)', 'CL 140 - KR 13 (089A01)', 'AK 15 - CL 140A (109A01)', 'CL 140 - KR 13 (090A01)']","[1.3589068807362448, 1.4322114600303444, 1.4820302905615446, 1.6986261533349138, 1.8234208954778828]","['Calle 142', 'Alcalá', 'Calle 146', 'Mazurén', 'Prado']","['Autonorte', 'Autonorte', 'Autonorte', 'Autonorte', 'Autonorte']","['CL 142', 'AK 15', 'Cl 140', 'AK 15', 'Cl 140']",PARQUE VECINAL NUEVA URBANIZACIÓN EL CEDRITO,0.58,1,-1.2133770948518814,2183098.591549296,71.0
10568124,350000000.0,230000,4.6491978,-74.143588,32.986611469908155,0.9705196496803477,1.0761821293247895,-0.22917471770414288,1.072173386546725,,0,0.4252831508226308,1.0547804466089938,"¡¡OPORTUNIDAD, APARTAMENTO Sector castilla la Nueva,  Conjunto residencial Castelo ( carrera 81f- con calle 10 b) cerca a la avenida Cali, Sector en desarrollo, piso 19 (ultimo) con vista exterior-sur occidental, sol de tarde, cuenta con sala comedor con balcón, cocina integral semi-abierta, zona de lavado con ventilación, 3 habitaciones, 2 baños , espacio de estudio, parqueadero para vehículo, parqueadero para moto y deposito. el conjunto cuenta con salón social, salón de juegos, gimnasio, zona BBQ, zona infantil, parqueadero de visitantes. contacto Andres Artunduaga,",finca_raiz,2024-06-14 19:07:53.887,10568124_finca_raiz,False,POINT (-74.143588 4.6491978),EL VERGEL ORIENTAL,KENNEDY,"[0.3111754893949957, 0.31918539081386355, 0.32768594195200856, 0.33026671263503016, 0.3348197516949518]","['AV. C. de Cali - AC 12 (126A07)', 'AV. C. de Cali - CL 10B (127B07)', 'AV. C. de Cali - CL 10B (040A07)', 'AV. C. de Cali - CL 11 A (349A07)', 'AV. C. de Cali - CL 11A (126B07)']","[1.9140377251878895, 2.004705204036913, 2.0561745738291233, 2.151280121863645, 2.362220071918621]","['Transversal 86', 'Banderas', 'Mandalay', 'Biblioteca Tintal', 'AV. Américas - AV. Boyacá']","['Americas', 'Americas', 'Americas', 'Americas', 'Americas']","['AV. C. de Cali', 'AV. C. de Cali', 'AV. C. de Cali', 'AV. C. de Cali', 'AV. C. de Cali']",PARQUE VECINAL VILLA ALSACIA,0.97,1,1.3051214176734764,5468750.0,128.0
10617369,190000000.0,130000,4.5671459,-74.12500519999999,22.14815341550976,0.4852598248401738,1.0761821293247895,-0.22917471770414288,1.072173386546725,,12,0.4252831508226308,1.0547804466089938,"Sobre la Avenida Caracas, cerca a Santa Lucia. Apartamento en venta de 47m2, con vista exterior, ubicado en un 12vo piso, acceso por ascensor, parqueadero propio cubierto (189). Consta de 3 habitaciones, 1 baño, sala comedor, cocina integral y zona de lavandería. Tiene piso cerámico en todas sus zonas. El conjunto cuenta con terraza, cancha sintética, gimnasio, salón comunal y vigilancia privada las 24 horas. Cerca a Centro Comercial Ciudad Tunal; cerca a almacenes de cadena Tiendas D1 y Ara; cerca de Colegio Distrital San Carlos Sede B; cerca a estación de Transmilenio Socorro; Vías de acceso por la Av. Caracas y la Diagonal 49A Bis B Sur.",finca_raiz,2024-06-14 19:07:54.095,10617369_finca_raiz,False,POINT (-74.12500519999999 4.5671459),MARCO FIDEL SUAREZ I,RAFAEL URIBE URIBE,"[0.17223153214623715, 0.1880691625750033, 0.2404812076978145, 0.27867083047928315, 0.28224932659731444]","['AV. Caracas - DG 49A Sur (496A11)', 'Av. Caracas - DG 51 Sur (588A11)', 'DG 51B Sur - KR 17 (587A11)', 'AV. Caracas - CL 46 Sur (002A12)', 'CL 46 Sur - KR 19A (375A11)']","[0.28370864127262785, 0.42591455667062095, 0.6921971092844813, 0.7798146370214233, 1.1108400547236343]","['Socorro', 'Santa Lucía', 'Biblioteca', 'Consuelo', 'Calle 40 Sur']","['Caracas', 'Caracas', 'Tunal', 'Caracas', 'Caracas']","['AV. Caracas', 'AV. Caracas', 'DG 51B Sur', 'AV. Caracas', 'CL 46 Sur']",PARQUE VECINAL URBANIZACIÓN MARRUECOS II SECTOR,2.0,1,1.3580800377876152,3160919.540229885,174.0
10142242,980000000.0,0,4.6796982,-74.0905307,214.88421186111597,2.4262991242008694,3.2285463879743688,-0.0,1.072173386546725,,3,0.4252831508226308,1.0547804466089938,"VENDO CASA DE 3 NIVELES. 456 MTS CONSTRUIDOS, 8 MTS DE FRENTE  X  19 DE FONDO. REMODELADA AÑO 2020. 

3 APARTAMENTOS INDEPENDIENTES, LOS CLOSET EN MADERA DEKO, PUERTAS, PISOS Y COCINA  EN MADERA ACACIA MANGIUM IMPORTADA.

LAS 9 HABITACIONES TIENE SUS CLOSET.

1 PISO INDEPENDIENTE: 3 HABITACIONES,1 BAÑO, COCINA INTEGRAL, ZONA DE LAVANDERÍA, PATIO, PARQUEADERO O ESPACIO PARA NEGOCIO.

2 PISO, 4 HABITACIONES, HABITACIÓN PRINCIPAL MUY AMPLIA, 2 BAÑOS, COCINA ABIERTA TIPO AMERICANO, SALA COMEDOR CON CHIMENEA, LUCES INDIRECTAS.

3 PISO APARTAMENTO INDEPENDIENTE: 2 HABITACIONES, 1 BAÑO, 1 ESTUDIO, ZONA DE LAVANDERÍA, COCINA INTEGRAL, CON POSIBILIDAD DE AMPLIACIÓN.
TERRAZA CON DOMO CORREDIZO, BBQ, ZONA DE LAVANDERÍA, BAÑO CON JACUZZI.

EXCELENTE UBICACIÓN AV 68, AV 72, AV 30, CENTROS COMERCIALES METRÓPOLIS CENTRO COMERCIAL FLORESTA, CENTRO COMERCIAL TITAN PLAZA, CERCA AEROPUERTO.

ACTUALMENTE RENTA $5 MILLONES.",finca_raiz,2024-06-14 19:07:54.328,10142242_finca_raiz,False,POINT (-74.0905307 4.6796982),LA ESTRADA,ENGATIVA,"[0.1547312445423045, 0.16329895502308378, 0.18490205169687396, 0.21382439065554962, 0.214350569829476]","['KR 69I - CL 69A-22/26 (360A05)', 'KR 69 - CL 71 (298A05)', 'KR 68H - CL 71 (297A05)', 'KR 69 - CL 68A (357A05)', 'KR 69K - CL 69A-27/17 (359A05)']","[1.3009912943087014, 1.4091360697780388, 1.4740764729313809, 1.6295903633596371, 1.881256944839671]","['AV. 68', 'Ferias', 'Carrera 53', 'AV. Boyacá', 'Carrera 47']","['Calle 80', 'Calle 80', 'Calle 80', 'Calle 80', 'Calle 80']","['KR  69I', 'KR  69', 'KR  68H', 'KR  69', 'KR  69K']",PARQUE VECINAL URBANIZACIÓN CIUDAD HONDA,0.76,1,2.322629203464403,4135802.4691358022,162.0
10554436,510000000.0,380000,4.752686961314454,-74.02760480488281,80.11034214120552,1.4557794745205215,1.434909505766386,-0.22917471770414288,5.479997309016594,,3,0.4252831508226308,1.4063739288119916,"Hermosa casa e iluminada de 170 mts de 3 niveles. Nivel uno: consta de sala, comedor independientes, chimenea, sala de estar, baño social, cocina integral, zona de ropas independiente. Nivel dos: consta de 3 alcobas, la principal con baño privado y  baño de alcobas, una de las alcobas con una terraza. Nivel tres: Altillo con estudio, una alcoba y una terraza. Tiene un parqueadero,  el conjunto cuenta con parque para niños, zonas verdes, salones sociales. Cerca  a parques, colegios, universidades, centros comerciales, buen transporte público.",finca_raiz,2024-06-14 19:07:55.004,10554436_finca_raiz,False,POINT (-74.02760480488281 4.752686961314454),EL REDIL,USAQUEN,"[0.35685871222924004, 0.3621287092065168, 0.37854225421162735, 0.38393897995606, 0.38486468175533994]","['AK 7 - CL 174 (320B01)', 'AK 7 - CL 173 (320A01)', 'AK 7 - CL 174 (321A01)', 'AK 7 - CL 173 (321B01)', 'AK 7 - CL 175 (190A01)']","[2.0535828518738333, 2.2058812001309143, 2.295783627589062, 2.5193284810811263, 2.5565896256380003]","['Portal Norte', 'Calle 187', 'Toberin - Foundever', 'Terminal', 'Calle 161']","['Autonorte', 'Autonorte', 'Autonorte', 'Autonorte', 'Autonorte']","['AK 7', 'AK 7', 'AK 7', 'AK 7', 'AK 7']",PARQUE VECINAL URBANIZACIÓN CALLE 170 / ALAMEDA,1.19,1,-0.5126100992920517,5978260.869565218,92.0
10801267,1500000000.0,1500000,4.6535932049088125,-74.0511989593506,73.04178254051091,1.4557794745205215,1.0761821293247895,-0.22917471770414288,2.8591290307912667,,5,0.8505663016452616,2.1095608932179877,"Apartamento en Rosales con con Balcón, Cll 74 con Cra 1 Este


 Área total 150m2 + 5m2 de área Balcón
 Precio de Venta: $1.500.000.000
 Año de Construido: 2.013
 Valor de la administración: $1.500.000
 Número de Habitaciones: 3
 Número de Baños: 3
 Número de Parqueaderos: 2
 CBS
 Deposito


Te presentamos este moderno apartamento ubicado en el exclusivo sector de Rosales, cuenta con un total de 155 mts2 incluyendo un balcón de 5 mts2 de  dos parqueaderos privados independientes. Se accede al apartamento por un ascensor privado a la zona social donde se encuentra el espacio de la sala que cuenta con chimenea y un balcón que se comunica con la habitación principal, y con una impresionante vista hacia el occidente de la ciudad. En esta zona también se encuentra el area independiente del comedor que se comunica con una cocina cerrada completamente equipada con aparatos de lujo, el cuarto y baño de servicio, al igual que zona de lavanderia, y  cuenta con entrada de servicio independiente. En la zona privada encontramos tres amplias habitaciones, la principal con walk in closet, baño privado, y balcón, las dos habitaciones secundarias comparten un baño  El edificio cuenta gimnasio, sauna, y un salón múltiple con salida a una terraza interior, y cuenta con otra terraza en el ultimo piso completamente amoblada con muebles de exterior y BBQ. Conoce esta magnífica propiedad, agenda tu cita!",finca_raiz,2024-06-14 19:07:55.207,10801267_finca_raiz,False,POINT (-74.0511989593506 4.6535932049088125),BELLAVISTA,CHAPINERO,"[0.47646948577057674, 0.47646948577057674, 0.47782062712328593, 0.4983000121934886, 0.4983998414788732]","['AK 7 - CL 72 Bis (049A00)', 'AK 7 – CL 73 (BD-019B)', 'AK 7 – CL 73 (BD-019A)', 'AK 7 - CL 74 (367A00)', 'AK 7 – CL 70A (BD-017A)']","[1.310739098248589, 1.3183578548789403, 1.5311907760700927, 1.6204527333449643, 1.9066274015381912]","['Calle 72', 'Flores – Areandina', 'Calle 76 - San Felipe', 'Calle 63', 'Héroes - Gel´Hada']","['Caracas', 'Caracas', 'Caracas', 'Caracas', 'Autonorte']","['AK 7', 'AK 7', 'AK 7', 'AK 7', 'AK 7']",PARQUE ZONAL GUSTAVO URIBE BOTERO,0.35,1,4.853023039764973,8166969.147005444,551.0
